lat,long,time,Year,Month,Day,Hour,Minute,Second,CTD,Depth,Press,Salinity,Temperature,Oxygen,ChlF,Turbidity,FDOM,Density,OxygenSaturationConc,OxygenSaturation
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,14.25,24.533634185791,27.0505388299144,6.30391438802083,287.040120442708,0.807000021139781,0.743433316548665,6.17766682306925,1021.24476850507,316.324495907024,90.7422991759312
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,14.35,24.5597972869873,27.1545758217973,6.31169637044271,284.082697550456,0.779000872245544,0.752149999141693,6.1535835911514,1021.32583340847,316.024558063301,89.8926017937989
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,14.45,24.7355155944824,27.2278543307468,6.31702677408854,281.267008463542,0.645083466016554,0.763200106607895,6.10283363250378,1021.38294694457,315.814615193924,89.0607954577502
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,14.95,25.2113552093506,27.299321386314,6.32329305013021,280.76708984375,0.658750135544243,0.743300102538885,6.07250027246757,1021.43852757648,315.602050705277,88.9623781646281
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,15.25,25.5336933135986,27.3575472499512,6.3282470703125,279.155014038086,0.719208570522219,0.735774993896484,6.0558337935556,1021.4838262354,315.430117925635,88.4997969990612
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,15.35,25.564037322998,27.3251619139458,6.32620239257812,279.889587402344,0.638416805707716,0.723183435586116,6.06250036147717,1021.45855122918,315.520435230791,88.7072772949287
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,15.55,25.8063640594482,27.3982774488209,6.33134969075521,278.955790201823,0.641750439409714,0.738649984200796,6.04333380237203,1021.51555388357,315.312613304263,88.4695944378991
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,15.85,26.1529769897461,27.4495532788834,6.33575439453125,278.982289632161,0.622166693210602,0.76241664091746,6.03366708755493,1021.55543941656,315.161042958042,88.5205503236334
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,16.05,26.3611647288005,27.5070237151636,6.33930460611979,278.40621609158,0.706249879911871,0.770688858297136,6.02044476906086,1021.60029938141,315.0015735558,88.3824842361502
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,16.15,26.3872127532959,27.5901049782747,6.34255981445312,278.124827067057,0.699166695276896,0.861266652743022,5.96683359146118,1021.66536250529,314.785144658985,88.3538603349141
